ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 27, 9, 1, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 27, 9, 1, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 27, 9, 1, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 27, 9, 1, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 9, 1, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 27, 0, 1, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 27, 8, 2, 0.2962962962962963, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 27, 8, 2, 0.2962962962962963, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 27, 4, 2, 0.14814814814814814, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 0.75, 0.8, 0.6666666666666666, 1.0, 0.75, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 27, 4, 2, 0.14814814814814814, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 0.75, 0.8, 0.6666666666666666, 1.0, 0.75, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 27, 3, 1, 0.1111111111111111, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 1.0, 0.75, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 27, 3, 1, 0.1111111111111111, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 1.0, 0.75, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 27, 3, 1, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 27, 3, 1, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 27, 3, 1, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 27, 3, 1, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 26, 14, 2, 0.5384615384615384, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 26, 14, 2, 0.5384615384615384, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 26, 14, 1, 0.5384615384615384, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 26, 14, 1, 0.5384615384615384, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 26, 14, 1, 0.5384615384615384, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 26, 14, 1, 0.5384615384615384, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 26, 11, 2, 0.4230769230769231, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.7272727272727273, 0.8421052631578948, 0.8888888888888888, 0.8, 0.4, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 26, 11, 1, 0.4230769230769231, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.7272727272727273, 0.8421052631578948, 0.8888888888888888, 0.8, 0.4, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 26, 11, 1, 0.4230769230769231, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.7272727272727273, 0.8421052631578948, 0.8888888888888888, 0.8, 0.4, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 26, 11, 1, 0.4230769230769231, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.7272727272727273, 0.8421052631578948, 0.8888888888888888, 0.8, 0.4, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 26, 11, 1, 0.4230769230769231, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.7272727272727273, 0.8421052631578948, 0.8888888888888888, 0.8, 0.4, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 26, 11, 1, 0.4230769230769231, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.7272727272727273, 0.8421052631578948, 0.8888888888888888, 0.8, 0.4, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5, 0.9090909090909091, 0.9523809523809523, 0.9090909090909091, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 26, 7, 2, 0.2692307692307692, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 26, 7, 1, 0.2692307692307692, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 26, 7, 1, 0.2692307692307692, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 26, 7, 1, 0.2692307692307692, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 26, 7, 1, 0.2692307692307692, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 26, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 27, 3, 1, 0.1111111111111111, 1.0, 1.0, 1.0, 1.0, 0.0, 0.6666666666666666, 0.8, 1.0, 0.6666666666666666, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 27, 3, 1, 0.1111111111111111, 1.0, 1.0, 1.0, 1.0, 0.0, 0.6666666666666666, 0.8, 1.0, 0.6666666666666666, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 27, 3, 1, 0.1111111111111111, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 27, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
